"","X","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"153",1,"USGS",15264000,"1947-05-01",50,"A"
"154",1,"USGS",15266110,"1997-05-02",980,"A"
"155",1,"USGS",15266150,"1997-04-19",800,"A"
"156",1,"USGS",15028300,"1977-06-26",2420,"A"
"157",1,"USGS",15266300,"1965-05-01",2300,"A"
"158",1,"USGS",15266500,"1967-10-01",35,"A"
"159",1,"USGS",15267000,"1977-03-01",30,"A"
"160",1,"USGS",15267900,"1967-10-01",600,"A"
"161",1,"USGS",15268000,"1949-10-01",253,"A"
"162",1,"USGS",15271000,"1979-06-01",2740,"A"
"163",1,"USGS",15272280,"1989-03-01",55,"A e"
"164",1,"USGS",15272380,"2000-10-13",758,"A"
"165",1,"USGS",15272502,"2017-07-21",297,"A"
"166",1,"USGS",15030000,"1915-08-01",453,"A"
"167",1,"USGS",15272550,"1965-08-01",350,"A"
"168",1,"USGS",15273045,"2006-01-01",16,"A e"
"169",1,"USGS",15273050,"1979-05-01",30,"A"
"170",1,"USGS",15273095,"1980-10-01",9.6,"A"
"171",1,"USGS",15273102,"1979-05-01",20,"A"
"172",1,"USGS",15273105,"1983-10-01",25,"A"
"173",1,"USGS",15273900,"1966-10-01",55,"A"
"174",1,"USGS",15274000,"1947-07-01",70,"A"
"175",1,"USGS",15274300,"1974-06-01",18,"A"
"176",1,"USGS",15274550,"1980-10-08",40,"A"
"177",1,"USGS",15031000,"1965-10-01",109,"A"
"178",1,"USGS",15274600,"1966-06-23",141,"A"
"179",1,"USGS",15274798,"1980-10-01",13,"A"
"180",1,"USGS",15275000,"1958-07-01",20,"A"
"181",1,"USGS",15275100,"1966-06-17",25,"A"
"182",1,"USGS",15276000,"1946-10-01",94,"A"
"183",1,"USGS",15276200,"2002-10-01",400,"A e"
"184",1,"USGS",15276320,"2002-10-01",380,"A e"
"185",1,"USGS",15276500,"1963-05-01",37,"A"
"186",1,"USGS",15276570,"1970-10-01",90,"A"
"187",1,"USGS",15276650,"1973-04-01",4,"A"
"188",1,"USGS",15032000,"1913-01-26",90,"A"
"189",1,"USGS",15277100,"1965-10-01",750,"A"
"190",1,"USGS",15277410,"1973-08-01",180,"A"
"191",1,"USGS",15277600,"1960-06-01",310,"A"
"192",1,"USGS",15277800,"1960-06-01",140,"A"
"193",1,"USGS",15280000,"1946-10-01",175,"A"
"194",1,"USGS",15280200,"2002-05-01",40,"A"
"195",1,"USGS",15280900,"2010-10-01",250,"A e"
"196",1,"USGS",15281000,"1959-10-01",5100,"A"
"197",1,"USGS",15281500,"1995-10-01",0.6,"A e"
"198",1,"USGS",15282000,"1955-05-01",44,"A"
"199",1,"USGS",15034000,"1915-10-01",1180,"A"
"200",1,"USGS",15283700,"1998-06-30",260,"A e"
"201",1,"USGS",15284000,"1949-04-21",686,"A"
"202",1,"USGS",15285000,"2008-05-31",19.5,"A"
"203",1,"USGS",15286000,"1949-07-01",40,"A"
"204",1,"USGS",15290000,"1948-07-01",700,"A"
"205",1,"USGS",15291000,"1957-05-30",5280,"A"
"206",1,"USGS",15291200,"1958-06-01",3400,"A"
"207",1,"USGS",15291500,"1961-05-01",2000,"A"
"208",1,"USGS",15291700,"2011-10-01",6070,"A e"
"209",1,"USGS",15292000,"1949-08-01",35000,"A"
"210",1,"USGS",15036000,"1916-07-01",5070,"A"
