id,region,river,atnr,location,lid
440,Yukon,Mosquito,nr,Chicken,\N
441,Yukon,Muddy River,nr,Lake Minchumina,\N
442,Yukon,Ninglikfak River,at,Chevak,\N
443,Yukon,Nulato River,at,Nulato,\N
444,Yukon,OBrien Creek,at,Fortymile,\N
445,Yukon,Otter Creek,at,Flat,\N
446,Yukon,Polte Slough,at,Marshall,\N
447,Yukon,Porcupine River,nr,Fort Yukon,\N
448,Yukon,Portage Creek,nr,Circle Hot Springs,\N
449,Yukon,Scammon Bay,at,Scammon Bay,\N
450,Yukon,Shageluk Slough,at,Shageluk,\N
451,Yukon,Sucker River,nr,Fort Yukon,\N
452,Yukon,Utopia Creek,nr,Utopia,\N
454,Yukon,Walker Slough,nr,Holy Cross,\N
455,Yukon,Wild River,nr,Bettles,\N
457,Yukon,Wiseman Creek,at,Wiseman,\N
459,Yukon,Woodchopper Creek,at,Coal Creek,\N
460,Yukon,Woodchopper Creek,at,Woodchopper Creek,\N
461,Yukon,Yukon River,at,Alakanuk,\N
462,Yukon,Yukon River,at,Anvik,\N
463,Yukon,Yukon River,at,Beaver,\N
464,Yukon,Yukon River,at,Carmacs,\N
465,Yukon,Yukon River,at,Circle,\N
466,Yukon,Yukon River,at,Coal Creek,\N
467,Yukon,Yukon River,at,Dalton Hwy Bridge,\N
468,Yukon,Yukon River,at,Dawson,\N
469,Yukon,Yukon River,at,Eagle,\N
471,Yukon,Yukon River,nr,Emmonak,\N
472,Yukon,Yukon River,at,Fort Yukon,\N
474,Yukon,Yukon River,at,Fortuna Ledge,\N
475,Yukon,Yukon River,at,Galena,\N
476,Yukon,Yukon River,at,Grayling,\N
477,Yukon,Yukon River,at,Hamilton,\N
478,Yukon,Yukon River,at,Holy Cross,\N
479,Yukon,Yukon River,at,Hughes,\N
480,Yukon,Yukon River,at,Kaltag,\N
481,Yukon,Yukon River,at,Kokrines,\N
482,Yukon,Yukon River,at,Koyukuk,\N
483,Yukon,Yukon River,at,Kwiguk,\N
484,Yukon,Yukon River,at,Marshall,\N
485,Yukon,Yukon River,at,Mountain Village,\N
486,Yukon,Yukon River,at,Nulato,\N
487,Yukon,Yukon River,at,Paimiut,\N
488,Yukon,Yukon River,at,Pilot Station,\N
489,Yukon,Yukon River,at,Pitkas Point,\N
490,Yukon,Yukon River,at,Rampart,\N
491,Yukon,Yukon River,at,Ruby,\N
492,Yukon,Yukon River,at,Russian Mission,\N
493,Yukon,Yukon River,at,Stevens Village,\N
494,Yukon,Yukon River,at,Tanana,\N
495,Yukon,Yukon River,at,Whitehorse,\N
496,Yukon,Yukon River,at,Woodchopper Creek,\N
497,Tanana,Tanana River,at,Salcha,\N
498,Southcentral,Big River Lakes,at,Lake Clark Pass,\N
499,Southcentral,Chelatna Lake,at,Chelatna Lake,\N
500,Southcentral,Deep Creek,at,Ninilchik,\N
501,Southcentral,Deshka River,at,Willow,\N
502,Yukon,Chandalar River,at,Arctic Village,\N
503,Southwest,Emmonak Slough,at,Emmonak,\N
504,Southcentral,Exit Creek,at,Exit Glacier,\N
505,Yukon,Fortymile River,at,South Fork,\N
506,Yukon,Fortymile River,at,Walker Fork,\N
507,Yukon,Fortymile River,at,West Fork,\N
508,Yukon,Innoko River,at,McGrath,\N
509,Southcentral,Lake Louise,at,Tazlina Glacier Lodge,\N
510,Copper,Mankomen Lake,at,Gakona,\N
511,Yukon,Middle Fork Koyukuk,at,Wiseman,\N
512,Copper,Sinona Lake,nr,Paxson,\N
513,Yukon,Smokey Lake,at,Tazlina Glacier Lodge,\N
514,Southcentral,Wasilla Creek,at,Wasilla,\N
515,Copper,Eyak River,nr,Cordova,\N
516,Southeast,Auke Lake,at,Auke Bay,\N
517,Yukon,Kandik River,at,Mile 50,\N
519,Yukon,Yukon River,at,Saint Marys,\N
