"","site_no","wt_year","Annual_Discharge","t_mean","pcp"
"126","15238648",1992,1.79863387978142,-1.02906371420249,-0.6416755904754
"127","15238648",1993,2.59468493150685,1.00678875281786,0.168253601590792
"128","15238648",1994,4.43232876712329,0.5642205599385,-0.205716663599014
"129","15238648",1995,2.90657534246575,-0.495523361023516,0.809140623609225
"130","15238648",1996,3.09065573770492,-0.0897324757340057,-1.66494849473238
"131","15238648",1997,7.75857534246575,0.192267293576151,-0.80075971186161
"132","15238648",1998,15.218904109589,0.0407471630411842,0.802640091379484
"133","15238648",1999,45.6490410958904,-0.791796527492503,-0.650484719872475
"134","15238648",2000,3.01994535519126,-0.226423241353283,-0.282931267221769
"135","15238648",2001,3.11698630136986,1.44014472747222,1.65636200805505
"136","15238648",2002,15.8298630136986,-0.424984025613715,-0.551236702998479
"137","15238648",2003,18.0232054794521,1.9813024077254,1.45483896235625
"138","15238648",2004,2.25920765027322,0.731211396399885,-0.33367899954319
"139","15238648",2005,3.45742465753425,1.52133081589515,0.553679407636325
"140","15238648",2006,2.96684931506849,-0.340158494965484,-0.12347163160642
"141","15238648",2008,27.0719398907104,-0.761640861319999,0.802605550487836
"142","15238648",2009,2.07947945205479,-0.790137887156258,-1.30562064945698
"143","15238648",2010,1.8966301369863,0.421540282511462,0.147504131992658
"144","15238648",2011,3.90734246575342,-0.457414530372868,-0.310089040795962
"145","15238648",2012,1.91928961748634,-1.426447786546,1.10010464092096
"146","15238648",2013,4.84402739726027,0.0432794564403594,-0.729469586412112
"147","15238990",1984,60.1245901639344,0.87690316994364,0.583511755863825
"148","15238990",1985,49.1821917808219,-0.305196799493084,-0.238465586304665
"149","15238990",1986,153.891780821918,-0.51381344612067,-0.7623389651378
"150","15238990",1987,91.1802739726027,0.969964372459799,1.86346287131309
"151","15238990",1988,141.871584699454,0.358266504947096,1.06114445726077
"152","15238990",1989,87.0178082191781,-0.517047745641321,-0.731430926918983
"153","15238990",1990,138.242465753425,-0.34147546455885,-0.307569254438083
"154","15238990",1991,140.387671232877,-0.735925687011332,-0.73417862902085
"155","15238990",1992,120.765027322404,-1.02906371420249,-0.6416755904754
"156","15238990",1993,150.613698630137,1.00678875281786,0.168253601590792
