sim,obs
38221.83,29800.0
39406.83,30600.0
41713.883,32300.0
45058.176,38800.0
53202.86,50100.0
64051.023,63900.0
74755.195,62400.0
73975.08,52900.0
67170.57,48300.0
64844.926,47500.0
64238.926,51700.0
66329.84,51300.0
67581.32,48800.0
65325.086,47500.0
62695.953,45800.0
61802.777,43500.0
60216.582,40400.0
53258.508,38500.0
47995.992,37300.0
45122.45,36700.0
45474.54,37500.0
47852.336,40100.0
50284.47,43800.0
55370.066,49900.0
60230.203,53000.0
59199.027,51600.0
51849.746,51000.0
46481.652,53500.0
48181.42,54300.0
52343.98,53900.0
52043.676,52300.0
45367.1,53500.0
40336.95,53300.0
40441.76,49000.0
34749.09,46100.0
34351.684,46800.0
41161.047,48700.0
47484.61,50700.0
54303.684,53400.0
55319.516,55800.0
53104.918,55200.0
50582.758,52000.0
49499.902,50400.0
48008.61,50900.0
52932.273,52100.0
61709.49,52700.0
53122.57,52500.0
44633.2,53400.0
41410.14,54900.0
42797.055,56500.0
45854.24,58300.0
46330.805,60100.0
42486.473,61000.0
42379.83,63500.0
44600.48,66300.0
44802.355,67900.0
45342.76,69200.0
44895.086,70300.0
44984.75,70800.0
43372.8,67900.0
42633.266,65200.0
43680.855,65100.0
47887.78,64400.0
51033.65,66400.0
50250.42,66600.0
48083.79,63700.0
45037.777,62600.0
40842.26,62000.0
39711.02,60900.0
39241.145,60100.0
37154.926,60500.0
38991.605,62300.0
41195.895,64100.0
32132.625,64300.0
30055.133,63700.0
32960.727,63600.0
32200.121,64200.0
28932.36,63700.0
30070.48,63600.0
30907.318,64300.0
34892.44,64600.0
51930.35,63900.0
50699.15,61500.0
36667.3,60600.0
28903.924,61600.0
28034.318,62100.0
30757.629,62500.0
31612.479,59900.0
31925.389,57500.0
29767.482,57100.0
27761.78,59900.0
22457.29,60100.0
20643.533,57800.0
25515.422,56800.0
23816.201,56900.0
16745.637,57700.0
15240.886,58000.0
16133.088,58000.0
16755.377,58600.0
16749.072,58900.0
15704.608,58300.0
16562.797,57700.0
18697.143,58400.0
22606.639,58100.0
24426.877,58700.0
22075.33,59900.0
21227.059,61400.0
21950.086,62300.0
25617.428,62300.0
29978.055,61700.0
23330.584,60700.0
21157.125,60600.0
24467.42,60800.0
25413.395,58700.0
23303.682,55600.0
22058.29,51500.0
24940.89,50000.0
25047.719,50300.0
22166.264,47900.0
20691.936,44400.0
17142.324,41800.0
15844.61,41000.0
14300.401,40300.0
10291.155,38900.0
7858.2363,36600.0
7545.564,33100.0
6942.522,31500.0
5833.0103,29700.0
5443.6924,27800.0
5465.0854,26400.0
6696.7554,25200.0
7208.818,24200.0
5747.496,23500.0
5351.9497,23300.0
5384.1562,23400.0
5338.1875,22500.0
5319.4097,21700.0
5203.5547,21000.0
5086.863,20300.0
5255.173,19700.0
5510.4478,19400.0
5587.913,19100.0
5463.1445,19200.0
5523.394,19200.0
5186.6504,18900.0
5013.6743,18400.0
5084.6987,18500.0
5390.156,18500.0
6249.923,18000.0
6890.05,17600.0
6552.3745,17700.0
6587.0483,17500.0
8425.465,17700.0
10281.637,18000.0
9929.758,18400.0
10506.073,18500.0
11791.789,18300.0
12180.072,18000.0
11473.197,17900.0
10608.176,17600.0
10119.34,17400.0
11035.682,17500.0
11072.346,17500.0
10244.272,17500.0
9672.864,17500.0
9291.43,17500.0
9151.496,17000.0
9090.403,17000.0
9059.898,16500.0
9105.644,16000.0
9199.499,16000.0
9304.711,15000.0
8909.782,15000.0
8470.503,15000.0
8232.004,14500.0
8100.0254,14500.0
7992.709,14500.0
7896.6396,14500.0
7791.9443,14000.0
7695.6475,13500.0
7586.1636,11500.0
7474.022,9200.0
7373.043,8400.0
7271.321,8000.0
7176.393,7600.0
7083.8394,7500.0
6982.663,7600.0
6879.8413,8000.0
6791.17,8400.0
6708.918,8800.0
6633.823,9200.0
6567.8574,9600.0
6501.4473,9800.0
6429.9336,9800.0
6373.0083,9600.0
6302.9316,9400.0
6238.008,9200.0
6162.961,9000.0
6094.8564,8800.0
6040.785,8600.0
5951.02,8400.0
5873.649,8200.0
5816.2417,8100.0
5776.9287,8000.0
5739.921,7900.0
5701.389,7800.0
5663.315,7800.0
5620.876,7700.0
5580.0293,7600.0
5541.6597,7600.0
5499.859,7500.0
5461.907,7400.0
5425.845,7400.0
5385.7363,7300.0
5348.196,7300.0
5310.557,7200.0
5280.54,7200.0
5242.283,7100.0
5201.4355,7100.0
5163.5825,7000.0
5130.962,6900.0
5100.5,6900.0
5065.914,6800.0
5030.6436,6800.0
4998.3687,6700.0
4956.2065,6600.0
4911.971,6600.0
4872.5596,6600.0
4833.095,6500.0
4798.487,6500.0
4764.757,6500.0
4725.577,6500.0
4685.6865,6400.0
4651.477,6400.0
4673.0054,6400.0
4775.6025,6400.0
4892.2944,6300.0
4838.854,6300.0
4901.3784,6300.0
4747.9688,6300.0
4806.984,6300.0
5088.4805,6300.0
4962.182,6200.0
4723.542,6200.0
4667.455,6200.0
4667.404,6100.0
4682.289,6100.0
4725.113,6100.0
4908.9893,6100.0
5069.2407,6100.0
5261.283,6100.0
5268.103,6100.0
5596.845,6100.0
6552.0977,6100.0
6416.537,6000.0
5732.4653,6000.0
5555.845,6000.0
5566.8203,6000.0
5590.6074,6000.0
5595.243,6000.0
5584.327,6000.0
5566.5376,6000.0
5541.418,6000.0
5508.5933,6000.0
5472.12,6000.0
5434.752,6000.0
5399.477,6000.0
5369.266,6000.0
5330.865,6000.0
5280.224,6000.0
5236.621,6000.0
5200.1025,6000.0
5166.955,6000.0
5138.497,6000.0
5111.4473,6000.0
5076.8843,6000.0
5043.0586,6000.0
5013.6895,6000.0
4982.688,6000.0
4948.643,6000.0
4922.437,6000.0
