sim,obs
53758.445,63700.0
75608.82,62600.0
65741.87,62000.0
44790.37,60900.0
37798.85,60100.0
37985.984,60500.0
38832.375,62300.0
40566.66,64100.0
36302.43,64300.0
30673.244,63700.0
28539.84,63600.0
27380.48,64200.0
26546.645,63700.0
27154.383,63600.0
28387.94,64300.0
34955.94,64600.0
43071.3,63900.0
41985.977,61500.0
36313.668,60600.0
32051.03,61600.0
28795.162,62100.0
26960.602,62500.0
27183.238,59900.0
30605.477,57500.0
34500.81,57100.0
32249.01,59900.0
32304.361,60100.0
32761.89,57800.0
37580.363,56800.0
40420.5,56900.0
33290.53,57700.0
24761.46,58000.0
21855.977,58000.0
21765.826,58600.0
20546.42,58900.0
19600.367,58300.0
20183.605,57700.0
21855.613,58400.0
24325.773,58100.0
26090.61,58700.0
24300.566,59900.0
22940.883,61400.0
21876.8,62300.0
25584.58,62300.0
23403.617,61700.0
18869.438,60700.0
19089.312,60600.0
18343.783,60800.0
18356.055,58700.0
17326.557,55600.0
16774.906,51500.0
17055.145,50000.0
18124.521,50300.0
19972.084,47900.0
20806.986,44400.0
16798.535,41800.0
13677.6,41000.0
13835.913,40300.0
19665.715,38900.0
19883.29,36600.0
18370.268,33100.0
17776.4,31500.0
10962.714,29700.0
7539.7295,27800.0
7071.238,26400.0
9093.442,25200.0
13676.221,24200.0
11446.39,23500.0
8344.67,23300.0
7767.453,23400.0
7708.677,22500.0
8547.477,21700.0
8789.589,21000.0
8415.903,20300.0
8020.7876,19700.0
8058.7573,19400.0
8130.5376,19100.0
8336.055,19200.0
9186.392,19200.0
12361.303,18900.0
12403.51,18400.0
14091.706,18500.0
14106.844,18500.0
15857.834,18000.0
19210.562,17600.0
20266.934,17700.0
20459.307,17500.0
22040.86,17700.0
32068.643,18000.0
52228.285,18400.0
54060.812,18500.0
49848.062,18300.0
49953.574,18000.0
56659.93,17900.0
63489.824,17600.0
50095.445,17400.0
48832.664,17500.0
45188.812,17500.0
38347.12,17500.0
34137.66,17500.0
31789.229,17500.0
30428.002,17000.0
29480.195,17000.0
28610.19,16500.0
28143.307,16000.0
28085.783,16000.0
27762.035,15000.0
26910.2,15000.0
25847.799,15000.0
24818.736,14500.0
24052.426,14500.0
23570.21,14500.0
23232.717,14500.0
22764.195,14000.0
22473.473,13500.0
22338.207,11500.0
21798.96,9200.0
21221.324,8400.0
20926.213,8000.0
20740.186,7600.0
20399.732,7500.0
19935.055,7600.0
19492.791,8000.0
19086.541,8400.0
18689.115,8800.0
18272.506,9200.0
17880.629,9600.0
17547.23,9800.0
17378.14,9800.0
17683.443,9600.0
17731.2,9400.0
17759.656,9200.0
18036.535,9000.0
18530.562,8800.0
18723.375,8600.0
18584.24,8400.0
18376.91,8200.0
18190.486,8100.0
17882.129,8000.0
17515.127,7900.0
17186.617,7800.0
16900.826,7800.0
16625.557,7700.0
16327.817,7600.0
16087.731,7600.0
15970.488,7500.0
16182.106,7400.0
16565.36,7400.0
16551.387,7300.0
16662.355,7300.0
17228.332,7200.0
17475.95,7200.0
17477.348,7100.0
17465.746,7100.0
17403.105,7000.0
17294.457,6900.0
17069.23,6900.0
16760.275,6800.0
16459.877,6800.0
16166.813,6700.0
15863.585,6600.0
15560.78,6600.0
15277.844,6600.0
14986.931,6500.0
14697.294,6500.0
14449.527,6500.0
14270.829,6500.0
14156.509,6400.0
14085.608,6400.0
14304.77,6400.0
16052.953,6400.0
21236.129,6300.0
23550.445,6300.0
24401.64,6300.0
24389.434,6300.0
25556.86,6300.0
28379.709,6300.0
30741.967,6200.0
26957.662,6200.0
24815.488,6200.0
23614.635,6100.0
22867.666,6100.0
23129.766,6100.0
28668.13,6100.0
36346.543,6100.0
41325.137,6100.0
45209.72,6100.0
45972.16,6100.0
46837.82,6100.0
47554.145,6000.0
44260.844,6000.0
39653.383,6000.0
36590.4,6000.0
34144.566,6000.0
32160.934,6000.0
30484.582,6000.0
29055.598,6000.0
27808.424,6000.0
26701.662,6000.0
25695.87,6000.0
24873.633,6000.0
24114.262,6000.0
23538.822,6000.0
23046.848,6000.0
22489.2,6000.0
22030.21,6000.0
21649.703,6000.0
21274.264,6000.0
20833.78,6000.0
20366.53,6000.0
19916.125,6000.0
19507.69,6000.0
19091.361,6000.0
18679.107,6000.0
18296.502,6000.0
17949.172,6000.0
17604.932,6000.0
17316.934,6000.0
17061.498,6000.0
16924.951,6000.0
16521.783,6000.0
16144.023,6000.0
15880.335,6000.0
15739.557,6000.0
15854.135,6000.0
16349.829,6000.0
15971.21,6000.0
15114.51,6000.0
14735.533,6000.0
14496.504,6000.0
14575.705,6000.0
14683.891,6000.0
14313.885,6000.0
14047.464,6000.0
13915.189,6000.0
13804.538,6000.0
13744.598,6000.0
13538.406,6000.0
13334.724,6000.0
13255.096,6000.0
13159.713,6000.0
13168.742,6000.0
13464.2,6000.0
13860.028,6000.0
14676.6455,6000.0
15202.391,6000.0
15183.554,6000.0
15679.972,6000.0
16609.547,6000.0
17819.0,6000.0
18763.332,6000.0
19522.496,6000.0
20874.785,6000.0
22563.963,6000.0
24305.27,6000.0
26873.764,6100.0
28353.703,6100.0
28857.693,6200.0
29022.666,6200.0
29714.29,6300.0
30346.197,6300.0
30925.268,6500.0
31493.137,6700.0
31767.492,7000.0
31994.0,7200.0
32424.76,7400.0
33096.78,7500.0
33976.547,7600.0
34680.996,7700.0
35099.316,7800.0
35429.688,7800.0
35353.33,7900.0
35131.66,8000.0
35182.633,8100.0
35611.316,8200.0
35579.98,8300.0
35073.812,8400.0
34275.656,8500.0
34096.414,8600.0
34333.895,8800.0
34571.598,8900.0
34241.285,9000.0
33704.754,9100.0
33162.543,9200.0
32733.682,9300.0
32389.246,9600.0
31987.38,9700.0
31512.01,9800.0
31198.768,10000.0
31268.268,10200.0
31346.758,10500.0
31577.29,11000.0
32629.35,12000.0
34025.92,13000.0
35684.188,17000.0
38157.49,30000.0
42202.324,44500.0
47359.844,46400.0
53387.344,48000.0
59424.492,48000.0
62614.47,45600.0
64017.02,45600.0
63069.914,44000.0
61770.875,36800.0
60062.26,36800.0
56843.85,36800.0
53988.5,36000.0
53292.33,36000.0
53928.223,36400.0
55001.06,35900.0
57228.7,35700.0
60785.04,37000.0
66191.21,39400.0
71272.62,40300.0
74039.71,40600.0
74509.125,39400.0
70986.07,44900.0
68126.766,43500.0
66442.27,40000.0
63017.633,39500.0
61026.848,38300.0
58846.758,37400.0
56633.758,36600.0
51616.902,36800.0
51872.28,37000.0
58940.402,38100.0
63143.99,39400.0
58924.57,40800.0
57153.586,42600.0
58307.223,43900.0
61788.633,46800.0
63567.54,49000.0
61322.973,50500.0
56476.31,53300.0
54890.74,52600.0
55499.707,50400.0
55690.44,48800.0
54427.594,48000.0
54050.133,48100.0
54463.6,50300.0
58590.773,51500.0
66452.48,55700.0
72386.87,62600.0
76698.51,67400.0
75303.88,68900.0
73953.19,69800.0
75198.86,71300.0
77690.74,73800.0
78633.266,77400.0
80845.76,79400.0
85620.48,75500.0
84536.164,72300.0
81649.61,70300.0
78299.625,68200.0
78649.19,66700.0
81498.984,65700.0
74349.33,65500.0
63825.45,64900.0
59592.465,65600.0
60622.035,68100.0
63774.3,69100.0
64346.07,69900.0
63410.383,70200.0
64366.293,71100.0
60784.22,72800.0
60576.09,74300.0
64397.97,75200.0
65879.15,75600.0
67383.51,75200.0
74584.33,75500.0
92176.445,76800.0
93438.4,76400.0
86821.26,74100.0
79812.97,72800.0
74695.266,73600.0
69833.055,73700.0
73082.1,75800.0
72192.32,79100.0
66100.19,78900.0
66582.12,74900.0
75072.65,70800.0
72711.45,68500.0
65350.945,66800.0
60060.484,65800.0
59590.918,65200.0
64823.414,65200.0
63101.4,64700.0
55345.97,63200.0
52985.715,63100.0
51845.484,61400.0
51458.098,58100.0
48661.887,55900.0
48772.785,55500.0
54980.56,56000.0
56896.773,55900.0
54862.203,56200.0
50771.37,56300.0
52509.965,55600.0
59751.09,55600.0
59800.773,57400.0
54686.43,60300.0
58927.695,62500.0
59688.906,64300.0
50382.426,65700.0
44427.17,66300.0
42338.117,65500.0
41264.953,64500.0
42436.496,63600.0
44784.69,60100.0
43798.184,55500.0
41582.76,54100.0
37364.605,53900.0
34523.47,52700.0
34970.21,53300.0
36163.973,55100.0
39972.293,51600.0
40179.348,47600.0
33322.66,45700.0
28561.977,44200.0
25854.754,43100.0
31893.424,42400.0
53512.133,41000.0
42325.38,38700.0
31085.848,36300.0
30582.812,35200.0
27899.02,35800.0
27933.494,38500.0
32897.457,42600.0
